	Eternal Living Fragrance,万古生香,ばんこしょうかおり
"""Benizakura"" Shoujo Gensou",『紅桜』少女幻奏,べにざくらしょうじょまぼろしそう
"""Futsuu"" no Machi ~Fairyland~",「普通」の街ーフェアリーランドー,ふつうのまちーふぇありーらんどー
"""Futsuu"" no Machi ~Fairyland~",「普通」の街ーフェアリーランドー,ふつうのまちーふぇありーらんどー
"""Gomennasai"" to Iu Kotoba, Igai de",「ごめんなさい」という言葉、以外で,ごめんなさいということばいがいで
"""Hikari"" yori Hayaku Hashitta Kimi e ~2012-nen 3-gatsu Shinkansen 300-kei ni Sasagu Uta~","``ひかり""より速く走った君へ ー2012年3月 新幹線 300系に捧ぐ歌ー",ひかりよりはやくはしったきみへーにせんじゅうにねんさんがつしんかんせんさんびゃくけいにささぐうたー
"""Jingle Bells"" no Hibiku Yoru",ジングルベルの響く夜,じんぐるべるのひびくよる
"""Jungle Taitei"" kara ""AEUIO Mambo""",『ジャングル大帝』から「アイウエオ マンボ」,じゃんぐるたいていからあいうえおまんぼ
"""Jungle Taitei"" kara ""Boku ni Chikara wo Otou-san""",『ジャングル大帝』から「ぼくに力をおとうさん」,じゃんぐるたいていからぼくにちからをおとうさん
"""Kakegoe"" Voice Shuu","""掛け声""ボイス集",かけごえぼいすしゅう
"""Kimi wa yuurei.""",「君は幽霊。」,きみはゆうれい
"""Kimigayo"" to ""Zou-san""",「君が代」と「ぞうさん」,きみがよとぞうさん
"""Kojiki"" yori ""Jobun"" -Yasumaro no Kotonoha-",「古事記」より「序文」 -安万侶の言の葉-,こじきよりじょぶんやすまん侶のことのは
"""Kono Kyoku wa Chip na Koi no You da wa"" ",「この曲はチープな恋のようだわ」,このきょくはちーぷなこいのようだわ
"""Rental Video ga Mitai Kara""",「レンタルビデオが観たいから」,れんたるびでおがみたいから
"""RI-A-JYU"" explode!",リア充爆発しろ!,りあじゅうばくはつしろ
"""RI-A-JYU"" explode!",リア充爆発しろ!,りあじゅうばくはつしろ
"""Ribbon no Kishi"" kara ""Ribbon no March""",『リボンの騎士』から「リボンのマーチ」,りぼんのきしからりぼんのまーち
"""Rin-chan Now!"" O Sakushi-sha Mizukara Utatte Miyou to Shitara, Rin ga......",「リンちゃんなう!」を作詞者自ら歌ってみようとしたら、リンが......,りんちゃんなうをさくししゃみずからうたってみようとしたらりんが
"""Sayonara"" wa Saigo dake","""さよなら""は最後だけ。",さよならはさいごだけ
"""shukuji"" ~kekkonkoushinkyoku~",「祝辞」ー結婚行進曲ー,しゅくじーけっこんこうしんきょくー
"""Sore Demo Kono Hoshi wa Tsunagi Tometa""",「それでもこの星は繋ぎ止めた」,それでもこのほしはつなぎとめた
"""Stand By Me"" of Electron",電子のスタンド・バイ・ミー,でんしのすたんどばいみー
"""Tsuki to Neko to Violin"" yori Daini Gakushou",「月と猫とバイオリン」より第2楽章,つきとねことばいおりんよりだいがくしょう
"""Tsumi to Batsu"" to ""Kusare Gedou to Chocolate"" o Zenryoku de Awasetemita",「罪と罰」と「腐れ外道とチョコレゐト」を全力で合わせてみた,つみとばつとくされげどうとちょこれゐとをぜんりょくであわせてみた
"""Tsumi to Batsu"" to ""Kusare Gedou to Chocolate"" o Zenryoku de Awasetemita",「罪と罰」と「腐れ外道とチョコレゐト」を全力で合わせてみた,つみとばつとくされげどうとちょこれゐとをぜんりょくであわせてみた
"(Jitsu wa Hangaku Ika Datta Nante, Ienai...) ",(実は半額以下だったなんて、言えない...),じつははんがくいかだったなんていえない
"(Jitsu wa Hangaku Ika Datta Nante, Ienai...)",(実は半額以下だったなんて、言えない...),じつははんがくいかだったなんていえない
"「Nee Master~, Issho ni Asobou yo」",「ねぇますたー、いっしょに遊ぼうよ」,ねぇますたーいっしょにあそぼうよ
"``Sakurairo Dream""",「桜色ドリーム」,さくらいろどりーむ
"~ Tenshi no Uta Yori ~ ``Inochi no Akashi""",ー天使の歌よりー 『命の証』,ーてんしのうたよりーいのちのあかし
"~ Tenshi no Uta Yori ~ ``Inochi no Akashi""",ー天使の歌よりー 『命の証』,ーてんしのうたよりーいのちのあかし
"~Todoke, Kimi Made~",ー届け、キミまでー,ーとどけきみまでー
"1, 440 minute parade","1,440分間のパレード",よんひゃくよんじゅっぷんかんのぱれーど
"1, 440 minute parade","1,440分間のパレード",よんひゃくよんじゅっぷんかんのぱれーど
"10-nen Arigatou, Kore Kara mo Yoroshiku ne",10年ありがとう、これからもよろしくね,じゅうねんありがとうこれからもよろしくね
"100 Nen Mae no Boku, 100 Nen Go no Kimi",100年前の僕、100年後の君,ひゃくねんまえのぼくひゃくねんごのきみ
"12 Tsuki no ame, taiji, keikoku to shite uketoru kimi no namida",12月の雨、対峙、警告として受け取る君の涙,じゅうにがつのあめたいじけいこくとしてうけとるきみのなみだ
"15-ji 34-bu 11-byou, Haru ni",15時34分11秒、春に,じゅうごじさんじゅうよんぷんじゅういちびょうはるに
"50,000 Digits of Pi Challenge",円周率πの5万桁に挑戦,えんしゅうりつぱいのまんけたにちょうせん
"A greeting from Hatsune Miku, POCARI SWEAT ambassador.",初音ミク、ポカリスエット・アンバサダー就任挨拶,はつねみくぽかりすえっとあんばさだーしゅうにんあいさつ
"Aa kamisama, anata wa.",ああ神様、あなたは。,ああかみさまあなたは
"Aa kamisama, anata wa.",ああ神様、あなたは。,ああかみさまあなたは
"Aa kamisama, anata wa.",ああ神様、あなたは。,ああかみさまあなたは
"Aa, Iya",あぁ、嫌,あぁいや
"Aa, Kamisama!",あゝ、神様!,ああかみさま
"Aa, Kamisama...",あぁ、神様...,あぁかみさま
"Aa, Subarashiki Nyansei (96neko Han)",嗚呼、素晴らしきニャン生 (96猫版),ああすばらしきにゃんせいくろねこばん
"Aa, Tsuki ga Kimi o.",嗚呼、月が君を。,ああつきがきみを
"Aa, Tsuki ga Kimi o.",嗚呼、月が君を。,ああつきがきみを
"Aan, Kyoku no Title ga Kimaranai",あぁん、曲のタイトルが決まらなぃ,あぁんきょくのたいとるがきまらない
"Absolute Love, Logic, and Affection",絶対恋愛論理感情,ぜったいれんあいろんりかんじょう
"Achira Konata, Yagi no Mure Yue ni",あちら此方、山羊の群れ故に,あちらこのかたやぎのむれゆえに
"Ah, It's a Wonderful Cat's Life!",嗚呼、素晴らしきニャン生,ああすばらしきにゃんせい
"Ah, kono sekai wa saitei da",嗚呼、この世界は最低だ,ああこのせかいはさいていだ
"Ah, kono sekai wa saitei da",嗚呼、この世界は最低だ,ああこのせかいはさいていだ
"Ah, Pleasant Rising",嗚呼良い上を,ああよいうえを
"Ai ni Iku, Kyou mo Ame.",あいにく、今日も雨。,あいにくきょうもあめ
"Ai no Machi, Sunset",愛の街、サンセット,あいのまちさんせっと
"Ainitsuite, Jukukou.","愛について,熟考.",あいについてじゅっこう
"Aishiai, Goodbye",愛し合い、グッドバイ,あいしあいぐっどばい
"Akai Karasu, Aoi Dobato",赤いカラス、碧い土鳩,あかいからすへきいどはと
"Akaneiro ni Somaru, Watashi no Kokoro wa Kimi wo Omoefu",茜色に染まる、私の心は 君を想ふ,あかねいろにそまるわたしのこころはきみをそうふ
"Akanezora, Kimi Omou",茜空、君想ふ,あかねぞらきみそうふ
"Akari to, Stage",灯と、ステージ,あかりとすてーじ
"Aki, Neo Venezia nite",秋、ネオ・ヴェネツィアにて,あきねおゔぇねつぃあにて
"Algernon ni, Hanataba wo.",アルジャーノンに、花束を。,あるじゃーのんにはなたばを
"Alicia, Kono Omoi o",アリシア・この想いを,ありしあこのおもいを
"Amazora Warai, Aijouka",雨空笑い、哀情歌,あめそらわらいあいじょうか
"Ame no Kaori, Hare Moyou",雨の香、晴模様,あめのこうはれもよう
"Ame no Tobari no Saki, Kanojo wa Furikaette",雨の帳の先、彼女は振り返って,あめのとばりのさきかのじょはふりかえって
"Ame Nochi Ame, Tokidoki Ame",雨のち雨、時々雨,あめのちうときどきあめ
"Ame wa orange, sore kara watashi.",雨はオレンジ、それから私。,あめはおれんじそれからわたし
"Ame, Boku wa Kyomu to Tomoni",雨、僕は虚無と共に,あめぼくはきょむとともに
"Ameagari, Sora wa ao",雨上がり、空は青,あめあがりそらはあお
"An Idiotic, Wild, Terribly Precious Journey",頓痴気乱痴気珍呑紀行,とみ痴気らん痴気ちん呑きこう
"An Idiotic, Wild, Terribly Precious Journey",頓痴気乱痴気珍呑紀行,とみ痴気らん痴気ちん呑きこう
"An Idiotic, Wild, Terribly Precious Journey",頓痴気乱痴気珍呑紀行,とみ痴気らん痴気ちん呑きこう
"An Irrelevant, Irrational Feast",頓珍漢の宴,とんちんかんのうたげ
"Anata e, Chinkon Kyoku wo.",貴方へ、鎮魂曲を。,あなたへちんこんきょくを
"Anata no Otoshita Natsu wa Kin no Natsu Desu ka, Gin no Natsu Desu ka, Sore Tomo Watashi to Hiroi ni Ikimasen ka?",あなたの落とした夏は金の夏ですか、銀の夏ですか、それとも私と拾いに行きませんか?,あなたのおとしたなつはきんのなつですかぎんのなつですかそれともわたしとひろいにいきませんか
"Anata wa sakusha, boku wa listener.",あなたは作者、ぼくはリスナー。,あなたはさくしゃぼくはりすなー
"Ano Hi, Bokura wa Yume wo Mita",あの日、僕らは夢をみた,あのひぼくらはゆめをみた
"Ano ne... Jitsu wa Watashi, Yumemi Nemu Nanda...",あのね...実はわたし、夢眠ねむなんだ...,あのねじつはわたしゆめみねむなんだ
"Anogoro no Yozora, Kyou no Yozora",あの頃の夜空、今日の夜空,あのころのよぞらきょうのよぞら
"Answer, Kimi.",アンサー、君。,あんさーきみ
"Antique ~Gogo Yonji, Toshoshitsu yori~",アンティーク ー午後四時、図書室よりー,あんてぃーくーごごよんじとしょしつよりー
"Antique ~Gogo Yonji, Toshoshitsu yori~",アンティーク ー午後四時、図書室よりー,あんてぃーくーごごよんじとしょしつよりー
"Anything goes well, if Cathy is",きゃしぃがいれば大丈夫,きゃしぃがいればだいじょうぶ
"Anyuta's song from the movie ""Jolly Fellows""","Песня Анюты из к/ф ""Весёлые ребята""",ПесняАнютыизкфВесёлыеребята
"Ao, Ao, Ao no Composition",青、青、青のコンポジション,あおあおあおのこんぽじしょん
"Aoi Natsu, Kitto Bokura wa",青い夏、きっと僕らは,あおいなつきっとぼくらは
"Aoi Sora, Mirai e no Uta",青い空、未来への歌,あおいそらみらいへのうた
"Aoi Sora, Mirai e no Uta",青い空、未来への歌,あおいそらみらいへのうた
"Aoi, Hana.",碧い、華。,へきいはな
"Aoi, Hana.",碧い、華。,へきいはな
"Appreciation of the words ""love""",感謝の言葉「愛してる」,かんしゃのことばあいしてる
"Are to Kore to, Onna no Ko",アレとコレと、女の子,あれとこれとおんなのこ
"Arigatou, Kimi e",ありがとう、君へ,ありがとうきみへ
"Aru Christ-sha wa Kokukaishitsu wo Saru, Tada Shinkou Nomi wo Kakaete",或るキリスト者は告解室を去る、唯だ信仰のみを抱えて,あるるきりすとしゃはこっかいしつをさるただだしんこうのみをかかえて
"Aru Hi, Blue Moment",ある日、ブルーモーメント,あるひぶるーもーめんと
"Aru Hi, Blue Moment",ある日、ブルーモーメント,あるひぶるーもーめんと
"Aru Uta Utai Ningyou no Kiroku ""Kotodama Tsukai no Noroi""",或る詩謡い人形の記録『言霊使いの呪い』,あるるしうたいにんぎょうのきろくことだまづかいののろい
"Aruite mo Aruite mo, Yozora wa Boku o Oikakete kuru",歩いても歩いても、夜空は僕を追いかけてくる,あるいてもあるいてもよぞらはぼくをおいかけてくる
"As long as there is a song, as long as there is someone singing it",変われど歌がある限り,かわれどうたがあるかぎり
"Ase Kaichatta ne, Cesario",汗かいちゃったね、シーザリオ,あせかいちゃったねしーざりお
"Ashita wa Kimi no, Sora no Iro",明日は君の、空の色,あしたはきみのそらのいろ
"Asu Tobikoe, Ima",明日とびこえ、いま,あしたとびこえいま
"Ayakashi, Ooi ni Odoru",妖、大いに踊る,妖おおいにおどる
"Ayakashi, Ooi ni Odoru",妖、大いに踊る,妖おおいにおどる
"Baba-chan, Kanojo de Kitanda Ore!",婆ちゃん、彼女できたんだ俺!,ばあちゃんかのじょできたんだおれ
"Babiru 2-sei, seigi no chō nōryoku shōnen",バビル2世、正義の超能力少年,ばびるにせいせいぎのちょうのうりょくしょうねん
"Banka, Kimi ni Nita Kagerou",晩夏、君に似た陽炎,ばんかくんににたかげろう
"Beethovengo Koukyoukyoku Dai Ringoban ""Taberunmei""",ベートーヴェンゴ 交響曲第リン5番「たべるん命」,べーとーゔぇんごこうきょうきょくだいりんごばんたべるんいのち
"Being low as dirt, taking what's important from me",泥の分際で私だけの大切を奪おうだなんて,どろのぶんざいでわたしだけのたいせつをうばおうだなんて
"Binetsu no Hohoemi, Bishoujo wa Kasuka ni Bisuiimu",微熱の微笑み、微少女は微かに微睡ーム,びねつのほほえみびしょうじょはかすかにびねむーむ
"Boku ga Kimi no Kawari ni Naku Kara, Kimi wa Boku no Kawari ni Waratte",僕が君の代わりに泣くから、君は僕の代わりに笑って,ぼくがきみのかわりになくからきみはぼくのかわりにわらって
"Boku kara Tsunaida Te, Kimi kara Hanashita Te",僕から繋いだ手、君から離した手,ぼくからつないだてくんからはなしたて
"Boku ni Batsu wo, Kimi ni Hikari wo",僕に罰を 君に光を,ぼくにばちをきみにひかりを
"Boku ni Batsu wo, Kimi ni Hikari wo",僕に罰を 君に光を,ぼくにばちをきみにひかりを
"Boku wa Ookami, Kimi wa Akazukin",僕は狼、君は赤ずきん,ぼくはおおかみきみはあかずきん
"Boku wa, Mada",僕は、まだ,ぼくはまだ
"Boku wa, Mirai ni Ikiru",僕は、未来に生きる,ぼくはみらいにいきる
"Boku, Shinseikatsu ga Fuan desu. Iya Zenzen Daijoubu ssho! Yoyuu ssho! Disco",僕、新生活が不安です。いや全然大丈夫っしょ!余裕っしょ!ディスコ,ぼくしんせいかつがふあんですいやぜんぜんだいじょうぶっしょよゆうっしょでぃすこ
"Boku, Shinseikatsu ga Fuan desu. Iya Zenzen Daijoubu ssho! Yoyuu ssho! Disco",僕、新生活が不安です。いや全然大丈夫っしょ!余裕っしょ!ディスコ,ぼくしんせいかつがふあんですいやぜんぜんだいじょうぶっしょよゆうっしょでぃすこ
"Boku, Shinseikatsu ga Fuan desu. Iya Zenzen Daijoubu ssho! Yoyuu ssho! Disco",僕、新生活が不安です。いや全然大丈夫っしょ!余裕っしょ!ディスコ,ぼくしんせいかつがふあんですいやぜんぜんだいじょうぶっしょよゆうっしょでぃすこ
"Bokutachi wa ""Yume"" wo Miru",ボク達ハ「ユメ」ヲ視ル,ぼくたちはゆめをしる
"Bokutachi wa ""Yume"" wo Miru",ボク達ハ「ユメ」ヲ視ル,ぼくたちはゆめをしる
"Bokutachi wa, ""Okaeri"" o Ieru Chou ni Naru.",僕たちは、「おかえり」を言える蝶になる。,ぼくたちはおかえりをいえるちょうになる
"Bonpyaku no Ari, Ichiaku no Suna.",凡百の蟻、一握の砂。,ぼんぴゃくのありいちにぎのすな
"Breathe in, breathe out",吸って吐いて,すってはいて
"Bungaku Seinen, Machi o Yuku",文学青年、街を往く,ぶんがくせいねんまちをゆく
"Burukkunaa ""Kirisuto wa Warera no Tame ni""",ブルックナー「キリストは我等のために」,ぶるっくなーきりすとはがとうのために
"By The Way, Hatsune Miku Confessed to Me",ところで初音ミクに告白されたんだけど,ところではつねみくにこくはくされたんだけど
"Bye-bye, Aimai Sound",バイバイ、曖昧サウンド,ばいばいあいまいさうんど
"Bye-bye, Aimai Sound",バイバイ、曖昧サウンド,ばいばいあいまいさうんど
"Byōin, itte kimasu!",病院、いってきます!,びょういんいってきます
"Camellia, Kurenai ni Chiru",カメリア、紅に散る,かめりあべににちる
"Casablanca, Kanawanu Hanakotoba wo",カサブランカ、叶わぬ花言葉を,かさぶらんかかなわぬはなことばを
"Chakka, Countdown",着火、カウントダウン,ちゃっかかうんとだうん
"Chapter 1「Mushoku no Kokuin, Akairo no Heya」",チャプター1「無色の刻印、赤色の部屋」,ちゃぷたーむしょくのこくいんあかいろのへや
"Chew. Then, Swallow.",咀嚼。そして、嚥下。,そしゃくそしてえんか
"Chikyuu Metsubou 30 Byou Mae, Kikai no Saigo no Sakebi",地球滅亡30秒前、機械の最後の叫び,ちきゅうめつぼうさんじゅうびょうまえきかいのさいごのさけび
"Chikyuu Metsubou 30 Byou Mae, Kikai no Saigo no Sakebi",地球滅亡30秒前、機械の最後の叫び,ちきゅうめつぼうさんじゅうびょうまえきかいのさいごのさけび
"Chikyuu wa Mawaru, Minna Mawaru",地球は回る、皆回る,ちきゅうはまわるみなまわる
"Chiriyuku Hana no Naka, Dorebodo Tooku",散りゆく花の中、どれほど遠く,ちりゆくはなのなかどれほどとおく
"Chotto Hayai Kedo Zeeettai ni Machigaenai de ne, Dyurararura.",ちょっと速いけどゼェーッタイに間違えないでね、デュララルラ。,ちょっとはやいけどぜぇーったいにまちがえないでねでゅららるら
"Chotto Matte Onee-san, Sore wa Mada Boku ni wa Hayai yo",ちょっと待ってお姉さんそれはまだ僕には早いよ,ちょっとまっておねえさんそれはまだぼくにははやいよ
"Chotto Matte Onee-san, Sore wa Mada Boku ni wa Hayai yo",ちょっと待ってお姉さんそれはまだ僕には早いよ,ちょっとまっておねえさんそれはまだぼくにははやいよ
"Chou Oomono Guest, Sansen!?",超大物ゲスト、参戦!?,ちょうおおものげすとさんせん
"Christmas, Ai ni Iku Papa e...",クリスマス、会いに行くパパへ・・・,くりすますかいいにいくぱぱへ
"Cider, Hirusagari, Natsu no Owari",サイダー、昼下がり、夏の終わり,さいだーひるさがりなつのおわり
"City light, red fish",街の灯り、赤い魚,まちのあかりあかいさかな
"color, broken heart color",思い出色、失恋色,おもいでしょくしつれんしょく
"Comment o Katte ni ""Misakura-go"" ni Henkan Shite mita",コメントを勝手に「みさくら語」に変換してみた,こめんとをかってにみさくらごにへんかんしてみた
"Competes for anything, she is Kachidoki-san",なんでも張り合う勝鬨さん,なんでもはりあうかちどきさん
"Curtein wa Boku wo Yurushite,",カーテンは僕を許して、,かーてんはぼくをゆるして
"Dai, Dai, Daikirai na Kimi e",大、大、大嫌いな君へ,だいだいだいきらいなきみへ
"Daisuki Doyoubi, Chotto Suki Suiyoubi, Ato wa Yami no Uta",大好き土曜日、ちょっと好き水曜日、あとは闇の歌,だいすきどようびちょっとすきすいようびあとはやみのうた
"Daite, Daite, Watashi o Daite yo",抱いて、抱いて、わたしを抱いてよ,だいてだいてわたしをだいてよ
"Dakara watashi wa, on'nanoko no oshikko o nomitai",だから私は、女の子のおしっこを飲みたい,だからわたしはおんなのこのおしっこをのみたい
"Dakara watashi wa, on'nanoko no oshikko o nomitai",だから私は、女の子のおしっこを飲みたい,だからわたしはおんなのこのおしっこをのみたい
"Dakara, Boku wa Koko ni Tatsu",だから、僕はここに立つ,だからぼくはここにたつ
"Daken, Sora o Kamu",駄犬、空を噛む,だけんそらをかむ
"Damin wa Tsuzuku yo, Itsu made mo",惰眠は続くよ、いつまでも,だみんはつづくよいつまでも
"Danjite Mina mo Cholesterolist, Hikakuteki Ongaku-rashisa ga Nokoru",断じて皆もコレステローリスト、比較的音楽らしさが残る,だんじてみなもこれすてろーりすとひかくてきおんがくらしさがのこる
"Dareka ""Nani ka?"" o Aishita Saigo no Toki ni.",誰か[何か?]を愛した最後の時に。,だれかなにかをあいしたさいごのときに
"Dear, Santa Claus",拝啓、サンタクロース様,はいけいさんたくろーすさま
"Dokoka no Anata wa, Itsuka no Watashi",どこかの貴方は、いつかの私,どこかのあなたはいつかのわたし
"Don't Go, Don't Go",行かないで 行かないで,いかないでいかないで
"Dona, Dona (Church Version)",ドナドナ(教会バージョン),どなどなきょうかいばーじょん
"Dororon Enma-kun, Be Careful of Ghosts",ドロロンえん魔くん、妖怪にご用心,どろろんえんまくんようかいにごようじん
"Dou kangaete mo, sono oppai no ooki-sa wa machigatte iru.",どう考えても、そのおっぱいの大きさは間違っている。,どうかんがえてもそのおっぱいのおおきさはまちがっている
"Dou kangaete mo, sono oppai no ooki-sa wa machigatte iru.",どう考えても、そのおっぱいの大きさは間違っている。,どうかんがえてもそのおっぱいのおおきさはまちがっている
"Douse Yume wa Kanawanaishi, Boku wa Nani mo Nasenai.",どうせ夢は叶わないし、僕は何も成せない。,どうせゆめはかなわないしぼくはなにもなるせない
"Dunstable I Spirit, Pearl forth",ダンスタブル「聖霊よ、来たりたまえ」,だんすたぶるせいれいよきたりたまえ
"Duōyú de, bù chénggōng de","多餘的,不成功的",た餘的ふせいこうてき
"Dusk Street, First Block",宵闇通り一丁目,よいやみどおりいっちょうめ
"Egg Tart, Patto Ochita",エッグタルト、パッと落ちる,えっぐたるとぱっとおちる
"Ehon no Naka e Nigedashite, Sore Kara",絵本の中へ逃げだして、それから,えほんのなかへにげだしてそれから
"Ei wa Sodachi, Boku wa Puropoozu ni Tetsu o Mageru",エイは育ち、僕はプロポーズに鉄を曲げる,えいはそだちぼくはぷろぽーずにてつをまげる
"Eien to Kimi no Uta wa, Hoshikuzu no Kakera",永遠と君の歌は、星屑の欠片,えいえんときみのうたはほしくずのかけら
"Elsa, schizophrenia ga yonderu.",エルザ、シゾが呼んでる。,えるざしぞがよんでる
"Even If The World is Destroyed Tomorrow, I'll Plant Apple Trees Today",明日、世界が滅びるとしても、今日、君はリンゴの木を植える,あしたせかいがほろびるとしてもきょうきみはりんごのきをうえる
"Farewell, My Angel",さよなら僕の天使,さよならぼくのてんし
"Father, mother",父さん 母さん,とうさんかあさん
"Feelings, To the Sky",想い、空へ,おもいそらへ
"Fictionia, Owari o Tsugeru",フィクショニア、終りを告げる,ふぃくしょにあおわりをつげる
"Flowers, mountains and funerals",最愛なるあなたは花葬,さいあいなるあなたはかそう
"Flowers, remnants, memories of summer",花想、残滓、夏の記憶,はなそうざんしなつのきおく
"Foaming moon, floating road",泡立つ月、浮かぶ路,あわだつつきうかぶみち
"For all ""Living"" resonance that ""Regret"" does not affect ""Other"" and ""Word"" is true to intersect",∀生 (悔≠他)の共鳴∩言葉,なま悔たのきょうめいことば
"Fujichaku, Propeller Hason",不時着、プロペラ破損,ふじちゃくぷろぺらはそん
"Fukan, Ai o Odoru",俯瞰、愛を躍る,ふかんあいをおどる
"Furimukeba, mikadzuki.",振り向けば、三日月。,ふりむけばみかづき
"Futari, Ame ni Somaru Machi o",ふたり、雨に染まる町を,ふたりあめにそまるまちを
"Fuwari, Umi to Hanafuu",ふわり、海と花風,ふわりうみとはなかぜ
"Fuyutomoshi, Sekai wa Matataku",冬灯、世界はまたたく,ふゆとうせかいはまたたく
"Gakuyaura ""Talkloid to wa?""",楽屋裏「トークロイドとは?」,がくやうらとーくろいどとは
"Gekitotsu! Futae no Kiwami, Aa!",激突!フタエノキワミ、アッー!,げきとつふたえのきわみあっー
"Genealogy of Red, White and Black",赤と白と黒の系譜,あかとしろとくろのけいふ
"Gense no Maboroshi, Hakanaki wa",現世の幻、儚きは,げんせいのまぼろしはかなきは
"Gensou no Yoru, Chiru Sakura ni Sayonara o",幻想の夜、散る桜にサヨナラを,げんそうのよるちるさくらにさよならを
"Ginsensou, Yurete",銀扇草、揺れて,ぎんせんくさゆれて
"Girl of Hresvelg ~Wind, Flower, Snow, Moon~",フレスベルグの少女ー風花雪月ー,ふれすべるぐのしょうじょーふうかせつげつー
"Girl of Hresvelg ~Wind, Flower, Snow, Moon~",フレスベルグの少女ー風花雪月ー,ふれすべるぐのしょうじょーふうかせつげつー
"Gokusai, Senken no Sakana.",極彩、嬋娟ノ魚。,ごくいろどりせんけんのさかな
"Golgotha no Oka e, Kimi to.",ゴルゴタの丘へ、君と。,ごるごたのおかへきみと
"Gone Love, End of Love",去りし恋、恋終わり,さりしこいこいおわり
"Goodbye, a rainy day",別れは雨,わかれはあめ
"goodbye,in the last spring with you",さよなら、君との最後の春に,さよならきみとのさいごのはるに
"Graytone, Shinshou",グレイトーン、心象,ぐれいとーんしんしょう
"Gyakkou shikaruchuu, odorikurutte.",逆光然る中、踊り狂って。,ぎゃっこうしかるなかおどりくるって
"Gyogun to Kujira no Suiatsu de Watashi wa Oborete,",魚群と鯨の水圧で私は溺れて、,ぎょぐんとくじらのすいあつでわたしはおぼれて
"Hachigatsu e wa, Ame to Hyouka o",八月へは、雨と氷菓を,はちがつへはあめとひょうかを
"Hachigatsu, Sora ni Rocket ga Tonda",八月、空にロケットが飛んだ,はちがつそらにろけっとがとんだ
"Haikei ni tettou, ""Chizuru"" wa den'en nite matsu.",廃景に鉄塔、「千鶴」は田園にて待つ。,はいけいにてっとうちづるはでんえんにてまつ
"Haikei, Anata-sama",拝啓、あなた様,はいけいあなたよう
"Haikei, Kami-sama e",拝啓、神様へ,はいけいかみさまへ
"Haikei, Moratorium",拝啓、モラトリアム,はいけいもらとりあむ
"Haikei, Nanimono ni mo Narenakatta Boku e.",拝啓、何者にもなれなかった僕へ。,はいけいなにものにもなれなかったぼくへ
"Haikei, Rakuyoujuu no Shita yori",拝啓、落葉樹の下より,はいけいらくようじゅのもとより
"Haikei, Sore Demo Ikite Iku Kimi e",拝啓、それでも生きていく君へ,はいけいそれでもいきていくきみへ
"Haikei, Tabidatsu Anata e",拝啓、旅立つあなたへ,はいけいたびだつあなたへ
"Haikei, Watashi no Tokubetsuna Hito e",拝啓、私の特別な人へ,はいけいわたしのとくべつなひとへ
"Haikei, Watashi no Tokubetsuna Hito e",拝啓、私の特別な人へ,はいけいわたしのとくべつなひとへ
"Hakushiki de Aru ga Yue, Kyouki",博識であるが故、狂気,はくしきであるがこきょうき
"Hana ni Ame wo, Kimi ni Uta wo",花に雨を、君に歌を,はなにあめをくんにうたを
