Kokoro,ココロ
Bokura no 16bit Sensou,ぼくらの16bit戦争
Pookaa Feisu,ポーカーフェイス
Kuwagata ni Choppu Shitara Taimu Surippu Shita,クワガタにチョップしたらタイムスリップした
,ハッピーマリッジイエロー
Kiritorisen,キリトリセン
Aitai,会いたい
Shiryoku Kensa,シリョクケンサ
,ハッピーシンセサイザ
Konoha no Sekai Jijou,コノハの世界事情
Hikyou Sentai Urotander,卑怯戦隊うろたんだー
,IMITATION BLACK
,ACUTE
,Mr.Music
Souzou Foresuto,想像フォレスト
Karakuri Sanka,絡繰賛歌
Deku Junka,木偶殉歌
,チェックメイト
Chirudoren Rekoodo,チルドレンレコード
Intabyua,インタビュア
Boku ga Boku ni Kaereru Basho,僕が僕に帰れる場所
Tsuki-Yuki-Hana,月雪花
,如月アテンション
,ヘッドフォンアクター
Roku-chou Nen to Ichiya Monogatari,六兆年と一夜物語
Shiroi Yuki no Purinsesu wa,白い雪のプリンセスは
,Bad ∞ End ∞ Night
Nandaka Ii Kanji,なんだかいいかんじ
Jittaa Dooru,ジッタードール
Yuurei Yashiki no Kubitsuri Shoujo,幽霊屋敷の首吊り少女
Gomenne Gomenne,ごめんね ごめんね
Warui Koto wa Shicha Ikenai yo,悪いことはしちゃいけないよ
Ai to Nasubi to Heiwa na Kajitsu,愛ト茄子ト平和ナ果実
Dou de mo Ii ya,どうでもいいや
Mono wo Parapara Kowasu,物をぱらぱら壊す
,「Ib」
Shingou de Futari Deatta,信号で二人出会った
Nenchaku-kei Danshi no 15-nen Nechinechi,粘着系男子の１５年ネチネチ
,Fade Away
,Palette
,Alice in Musicland
Hametsu no Yokan to Ecstasy,破滅の予感とエクスタシー
Tonari no JK,隣のJK
Jikon no Youyou Kono Keikou ni Ari,爾今の洋洋この蛍光にあり
Hatsune Miku no Gekishou,初音ミクの激唱
,HAKUMEI
Nante Midara na Shiikensaa da,なんて淫らなシーケンサーだ
Tsukihane,月翅
,Fairy-taled
,FLOWER TAIL
Kusaregedo to Chokoreito,腐れ外道とチョコレゐト
,ナイト＆シガレット
Kin no Irihi ni Tefuukin,金の入日に手風琴
Haro/Hawayu,ハロ／ハワユ
Haitoku Garasu Wall,背徳硝子ウォール
Nekomimi Aakaibu,ネコミミアーカイブ
Kokoro no Oto,心の音
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を
,sleeping beauty
lll Turutin Antena lll,lllトゥルティンアンテナlll
,Lie
Kyodai Shoujo,巨大少女
Mousou Suketchi,妄想スケッチ
Taimu Mashin,タイムマシン
I (Ai),I(愛)
,
Tsuioku no Koe,"追憶の声"""
,Darkness Six
,Fight for Free
,Birthday Song for ミク
Ringo Uri no Utakata Shoujo,林檎売りの泡沫少女
,Rose + Thorn -piano version-
,springs
Sarubia no Musume,サルビアの娘
Meguru Sekai no Rekuiemu,巡る世界のレクイエム
Rarirerira,ラリレリラ
,ノイジー・ワーミー
Rūbikku Kyūbu,ルービックキューブ
,cat's dance
,숨바꼭질
Nodo ga Kawaku,のどが渇く
Uso to Nuigurumi,嘘とぬいぐるみ
Shinderera ~another story~,シンデレラ~another story~
Ai Kotoba,愛言葉
Tsuntsun Gokko,ツンツンごっこ
,step on your heart
,Reset me with a Bullet Train
,All possible destinies
,Surrounded (soap bubble) - mix 1.0
,One step forward (mix 2.1)
,Unemotive Entity
,Universal
,¿Quieres ser mi Novia?
Doku Ringo to Shinderera,毒林檎とシンデレラ
,Un día de amistad (Yo te quiero)
,Más que Nada
,Juntos tú y yo
Amatsu Kitsune,アマツキツネ
,Bye-bye My Blue Bird
,Make Me Feel
,Помоги Мне Тебя Понять
,PowerFX
San Kyuu,39
Horumarin no Umi,ホルマリンの海
Noushou Sakuretsu Gaaru,脳漿炸裂ガール
,Heathen Quest
,F▬k Me
,Come With Me
,Everything You Got
,Sex Games
Yuudachi no Ribon,夕立のりぼん
Yumeyume,ゆめゆめ
,Sistema Recargado
,DESTRUYEME
Karafuru × Merodi,カラフル×メロディ
,ライフライン
Kashokusei: Aidoru Shoukougun,過食性:アイドル症候群
Yume no Katachi,ゆめのかたち
Kami Kyoku,神曲
,B+ANED
,Drowning in the Asphalt
,モノクロ∞ブルースカイ
Shinri×Иavigation,心裏×Иavigation
Kimi no Inai Basho de,君のいない場所で
Kanata ni Mau wa Sakura no Sennritsu,彼方に舞うは桜の旋律
,Aimless
Ki ni Naru Aitsu wa Kaijuu Shounen,気になるあいつは怪獣少年
,True Xtasy
,Earth Map Editor
Kyatto Fuudo,キャットフード
,Eighty Degree Halloween!
,Human
Byakkoya no Musume,白虎野の娘
,Once Before the Fall
,Our Luv
,Please Excuse Me
,Reon
,Japanese Boy
Shounen Shoujo Kamereon Shinputomu,少年少女カメレオンシンプトム
,All The People Are Missing You
Haitoku no Hana,背徳の花
,Blackjack
,シンデレラシンドローム
Yobanashi Diseibu,夜咄ディセイブ
,te-yut-te
Ao,青
,Undefined
Bokutachi no Hajimari,ぼくたちのはじまり
Jurietta to Romiwo,ジュリエッタとロミヲ
,Reboot
Sairento・Majoriti,サイレント・マジョリティ
,eMancipation
,Baby Come On
,My Mechanical Heart
,Erosynthesis
,Artificial Love
,Reminiscence of Garnet
,Not Like U
,mech.amore
,Character Select
,410n3+10n31y
,Boy Toy
,ORANGE LINE
,Stay
,"Welcome, A New Day"
Junjou Skirt,純情スカート
,Lying and Lying
Mukuro Attack!!,"""骸Attack!!"""
Sarishinohara,サリシノハラ
,Paxia Cybermax
,I'm Worth Something
,Cybertronic Queen
,Empty Space
,Liar
,Lavender Town Syndrome
,STARS
,Biohazard
Mekakushi Code,メカクシコード
,1913
Tsumi to Batsu,罪と罰
,Wait
,White Lie
,GLIDE
,Anonymous
Rorikon de Yokatta~,ろりこんでよかった～
Ren-kyun Nau!,レンきゅんなう！
Erekuto(ro) Bokkusu,エレクト（ロ）ボックス
Kamisama Neji Maki,カミサマネジマキ
Setsugetsuka,"""紲月歌"""
Aijou Jurietto,愛錠ジュリエット
FREYJA.sys ~Shisutemu·Fureiya~,FREYJA.sys～システム・フレイヤ～
,Eulogy for Abel
,Second Star
Kanransha,"""観覧車"""
,Line
Sayonara Chainsaw,サヨナラチェーンソー
,ジエンド
,jewelfish
,战场之花
Wan Ruumu・Ooru・Zatto・Jazu,ワンルーム・オール・ザット・ジャズ
Sutera,ステラ
Daiichiji Jibun Sensou,第一次ジブン戦争
,Guilty Verse
,Brilliant EVE
,YES YES
,Snowdrops
,The Rather Unspectacular Love Story of John and Jen
Ame to Asufaruto,雨とアスファルト
Toukyou Dennou Tantei Dan,東京電脳探偵団
Kimi no Koto ga Suki de Gomennasai,キミのことが好きでゴメンナサイ
Akkanbee da,アッカンベーダ
Saiko Mooshon,サイコモーション
"Ichizu na Kataomoi, Minorasetai Chiisana Shiawase.",一途な片思い、実らせたい小さな幸せ。
,Frontier
Shoudou x Pandemonikusu,衝動×パンデモニクス
Neko ni Orenji,猫にオレンジ
Shinpakusuu ♯0822,心拍数♯0822
Densetsu no Majo,伝説の魔女
Yankii Booi・Yankii Gaaru,ヤンキーボーイ・ヤンキーガール
Hare Hare Nooto,晴れ晴れノート
,ワールド・コーリング
Uintaa ・ Happii Naito,ウィンター ・ ハッピーナイト
,リンカーネイション
Meisou Rhapsody,迷走ラプソディ
,BALLOON
Shinde Shimau to wa Nasakenai!,しんでしまうとはなさけない！
Enmei Chiryou,延命治療
Houkago Stride,放課後ストライド
Mukiryoku Coup d'État,無気力クーデター
,moon
,Thousand Regrets
,saturation
,タイムリミット
Rosuto Wan no Goukoku,ロストワンの号哭
Miku Miku-kin ni Gochuui♪,みくみく菌にご注意♪
,Afterglow
Gigantikku O.T.N,ギガンティックO.T.N
Usotsuki≦Simulation,嘘憑≦Simulation
Kagerou≒Variation,影炎≒Variation
,Masked b▬tcH
,Tales of cartoon
Adagaeshi Shindoroomu,仇返しシンドローム
Oshare Dorobou to Iro Megane,オシャレ泥棒と色眼鏡
,Holy Star
,SING＆SMILE
,サウンド
Honto wa Wakatteru,ほんとは分かってる
Kogane no Seiya Sousetsu ni Kuchite,金の聖夜霜雪に朽ちて
Kokuhaku Yokou Renshuu-another story-,告白予行練習-another story-
,クローバー♣クラブ
Shinkaron code:variant,進化論 code:variant
,StargazeR
Hau Tuu Sekai Seifuku,ハウトゥー世界征服
Hikoukai Nisshi,非公開日誌
Gyuunyuu Nome!,牛乳飲め！
Kohaku Iro no Kaze,琥珀色の風
Watashi wa Ningen ja Nai kara.,私は人間じゃないから.
,Sadistic.Music∞Factory
Gaanetto Fosufa,ガーネットフォスファ
Serurian Vesupa,セルリアンヴェスパ
Nekomimi Suicchi,ねこみみスイッチ
Inmoraru Akutoresu,インモラルアクトレス
Kunoichi Demo Koi ga Shitai,クノイチでも恋がしたい
Suuiito Taimu,スウィートタイム
,Q
Kogarashi no Asa,木枯らしの朝
,Redial
Kanashimi no Nami ni Oboreru,かなしみのなみにおぼれる
Gensou Satisufakushon,幻奏サティスファクション
,Counterclockwise
Idora no Saakasu,イドラのサーカス
,Heart Beats
,paranoia
Dreaming Leaf -Yume Miru Kotonoha-,Dreaming Leaf -ユメミルコトノハ-
Azarea no Bourei,アザレアの亡霊
Samaa Aidoru,サマーアイドル
Koi Iro Byoutou,恋色病棟
Hitorinbo Envii,独りんぼエンヴィー
,ノイジーラバーソウル
Osanana Blue,オサナナブルー
Rasuto Efekuto,ラストエフェクト
Heisei Cataclysm,ヘイセイカタクリズム
Rosu Taimu Memorii,ロスタイムメモリー
Rikabarii,リカバリー
Singason,シンガソン
Daidai Genomu,橙ゲノム
,3331
Hashire,走れ
,Weekender Girl
Boku wa Hatsune Miku to Kisu wo Shita,僕は初音ミクとキスをした
,SILVER
Hato,ハト
Rokuberu,ロクベル
,ハローラフター
,ファインダー
,ルートスフィア
"Yume Janai, Uso Janai, Me no Mae ni Aru Shiawase na Joukei.",夢じゃない、嘘じゃない、目の前にある幸せな情景。
,Re:Try
Misutaa Deja Bu,ミスターデジャブ
,ドレミファロンド
Taiyou no Kizuna,太陽の絆
Hetakuso Yuutopia Seisaku,へたくそユートピア政策
,ナイトウォーカー
Iijii Densu,イージーデンス
Hokorobi,ほころび
,Alone
Genjitsuteki Ronri Shugisha,現実的論理主義者
Shabon no Saramandora,しゃぼんのサラマンドラ
Getsuseikou,"<span class=""explain"" title=""First uploaded as 西江月; also written as 月·西江 or 月.西江"">'''月西江'''</span>"
,Frigid Hearts
Sengokuzu,战国图
Bakumatsu Rōman,幕末浪漫
Jabawokkii・Jabawokka,ジャバヲッキー・ジャバヲッカ
,What's COLOR?
,
Pinko Sutikku Luv,ぴんこすてぃっくLuv
,ディス・イズ・ラブソング
,blackbox
,Star Bright
Shuukan Shounen Bai Bai,''週刊少年バイバイ''
Shinjuu,心中
,Sweet Devil
,トキヲ・ファンカ
,Rain + Virus
Arisu ni Sayonara,アリスにさよなら
,Don't pop me
n-goushitsu no Rakkasuru Curtain,n号室の落下するカーテン
,ロンリーチャイルド
,My Disappearance
Enbizaka no Shitateya,円尾坂の仕立屋
Uchouten Vivace,有頂天ビバーチェ
Tanshoku Sekai,単色世界
Shoujo Jishouheki,少女自傷癖
Rimiteru Kankaku Shonen,リミテル感覚少年
Yuugure Semi Nikki,夕暮れ蝉日記
Shiawase ni Nareru Kakushi Komando ga Arurashii,幸せになれる隠しコマンドがあるらしい
Dareka no Uta de Boku ga Shinu,誰かの歌で僕が死ぬ
Guren no Yumiya,紅蓮の弓矢
"Kodama, Hekikai, Nayuta wo Misadamu Aglaophonos no Shihen",谺、碧海、那由多を見定むアグラフォノスの詩篇
Nihonbashi Koukashita R Keikaku,日本橋高架下R計画
,アメリカ
,クラウドライダー
Rokushouiro no Yuuutsu,緑青色の憂鬱
,キャラメルティアドロップ
,SEAHOLLY
Kakushigoto,かくしごと
Tsugi Saku Hana no Iro wa,次咲く花の色は
Kyou mo Harebare,きょうもハレバレ
,chord liner
Nakimushi Robot,ナキムシロボ
Koi Tsubaki Hime,恋椿姫
Higurashi Moratorium,茅蜩モラトリアム
Nakimushi Pierrot,泣き虫ピエロ
Yukue Shirezu,ユクエシレズ
,weakling hero
Dorobou Night Trick,ドロボウナイトトリック
Koutetsu no Tori,鋼鉄ノ鳥
Yume Maboroshi,夢幻
Ayano no Koufuku Riron,アヤノの幸福理論
,blessed child
Heart ni Hi o Tsukete,ハートに火をつけて
Kokuhaku Yokou Renshuu,告白予行練習 
Shounen Shoujo Moratorium Survive,少年少女モラトリアムサヴァイヴ
,Track
Dare de mo Ii kara Tsukiaitai,誰でもいいから付き合いたい
,end tree
Muchuu o Oyogedo,霧中を泳げど
Utsukushiki Kajitsu,美しき果実
Jougen no Tsuki,上弦の月
Kimi ga Sora Koso Kanashikere,君ガ空コソカナシケレ
,ビバハピ
,SILENCE
,Looking for
,forbidden fruit
,BORDERLESS
,ブルームーン
Boku wa Gachapoid,ぼくはガチャッポイド
,ブラウン
,gacha☆パワー！
,celluloid
,Rera
Rekuiemu,レクイヱム
,Tarantula
,Pumpkin March
Seisou Bakuretsu Boy,聖槍爆裂ボーイ
,Chaining Intention
,トレモロフライ
,B▬tch Stole My Friend
,Unfragment
,Twaddles of a Flue Faker
,Dear diary
,Addiction to Pain
,Where Have You Been
Kokoro・Kiseki,ココロ・キセキ
,Newborn·新生
Disuko☆Shokoratekku,でぃすこ☆しょこらてっく
,风萤月
,梦之雨
,花与风的赞美诗
,心之光
,The Power FX Family
Shuumatsu ga Yattekuru!,しゅうまつがやってくる！
,千年食谱颂
,血色舞会
Hāto Disuku Doraibu,ハートディスクドライブ
,Set Me Free!
,BURST FORTH
,NeapolitaN
Kon'nyaku Jelly wo Taberu to Shinimasu,蒟蒻ゼリーを食べると死にます
,カムパネルラ
Maji de Oko da yo? Atashi Machigattenai,マジでぉこだょ？ァたし間違ってなぃ
,巷
,I LOVE U
,优越感少年
,千年少女二人
,psychotic.
Ageage Agein,アゲアゲアゲイン
,FIRST
Nijiiro*Adobenchua,ニジイロ＊アドベンチュア
Bokura no Let-it-Be,ぼくらのレットイットビー
,I am a broken umbrella
,三月雨
,一半一半
Sekihi no Uta,石碑のうた
Hoppu! Steppu! Sokushi! Shiawase Dansu Desutorappu,ホップ！ステップ！即死！シアワセダンスデストラップ
Yamero,やめろ
Garakuta Hime to Aposutorofu,ガラクタ姫とアポストロフ
Kitsune no Yomeiri,狐ノ嫁入リ
,シルバーバレット
Sekai Jumyou to Saigo no Ichinichi,世界寿命と最後の一日
,We are POP☆CANDY!
,唱給雅音宮羽
Kimi wa Dekinai Ko,君はできない子
,洗澡歌
,柠檬烟火
Toripuru Baka,驫麤～とりぷるばか～
,ハートビート・クロックタワー
Sutorobo Rasuto,ストロボラスト
,1/6 -out of the gravity-
Shiro no Musume,白ノ娘
