Kokoro,ココロ,こころ
Ikasama⇔Kajino,イカサマ⇔カジノ,いかさまかじの
Renraku Madaa?,レンラクマダー?,れんらくまだー
"Saa, Docchi?",さあ、どっち?,さあどっち
Juumensou,十面相,じゅうめんそう
Otona no Omocha,"""オトナのオモチャ""",おとなのおもちゃ
Suki Kirai,スキキライ,すききらい
Nazokake,ナゾカケ,なぞかけ
Amai Kotoba,甘い言葉,あまいことば
Kami Hikouki,紙飛行機,かみひこうき
Kakome Kakome,かこめかこめ,かこめかこめ
Shuujin,囚人,しゅうじん
Danshingu☆Samurai,ダンシング☆サムライ,だんしんぐさむらい
Gaikotsu Gakudan to Riria,骸骨楽団とリリア,がいこつがくだんとりりあ
"Yuragi no Uchuu, Koi to Mirai",ゆらぎの宇宙、恋と未来,ゆらぎのうちゅうこいとみらい
Mairisu Dame!,マイリスダメー!,まいりすだめー
"Higashi no Akatsuki, Nishi no Tasogare",東ノ暁 西ノ黄昏,ひがしのあかつきにしのたそがれ
Totemo Itai Itagaritai,とても痛い痛がりたい,とてもいたいいたがりたい
Kudoryafuka,クドリャフカ,くどりゃふか
Pantsu Nugeru mon!,パンツ脱げるもん!,ぱんつぬげるもん
Jinrou Kyoushikyoku,人狼狂詩曲,じんろうきょうしきょく
Boku ni Piano wo Hikasete,ぼくにピアノを弾かせて,ぼくにぴあのをひかせて
Torinoko Shiti,トリノコシティ,とりのこしてぃ
Uso to Time Machine,嘘とタイムマシン,うそとたいむましん
Boku to Arisu no Wandaarando,ボクとアリスのワンダーランド,ぼくとありすのわんだーらんど
Nanabanme no Boku,7番目の僕,ななばんめのぼく
Onihime to Hanaarashi,鬼姫と花嵐,おにひめとはなあらし
Kienai Hitomi.,きえないひとみ。,きえないひとみ
Tobira no Mukou,扉の向こう,とびらのむこう
Houkouonchi,方向音痴,ほうこうおんち
Ohime-sama ni Naritai no!,おひめさまになりたいのッ!,おひめさまになりたいのっ
Makuragi,枕木,まくらぎ
Kumo no Iseki,雲の遺跡,くものいせき
Hakaokuri no Uta,送墓唄,おくはかうた
Kemikaru Emōshon,ケミカルエモーション,けみかるえもーしょん
"Kochira, Koufuku Anshin Iinkai desu.",こちら、幸福安心委員会です。,こちらこうふくあんしんいいんかいです
Nayami Muyou!!,なやみむようっ!!,なやみむようっ
Nusumi wa Gedou?,ぬすみはげどう?,ぬすみはげどう
Shoujo to Kuroi Neko,少女と黒い猫,しょうじょとくろいねこ
Kessen Toujitsu!,けっせんとうじつ!,けっせんとうじつ
Tarinai Mono,'足りないもの,たりないもの
Shirokuro Byoutou,白黒病棟,しろくろびょうとう
Kimi ni Sasagu Fantajia,君に捧ぐファンタジア,きみにささぐふぁんたじあ
Himitsu Keisatsu,秘密警察,ひみつけいさつ
Kagamine Hachi-Hachi Hana no Kassen,鏡音八八花合戦,かがみねはちはちはなかっせん
Futatsu no Monogatari,二つの物語,ふたつのものがたり
Shinsetsu Shounen Shinkaron,新説少年進化論,しんせつしょうねんしんかろん
Majo,魔女,まじょ
Yumemite mo Iijanai no,夢見てもいいじゃないの,ゆめみてもいいじゃないの
"Hirari, Hirari",ひらり、ひらり,ひらりひらり
Yī Èr (Ii Aru) Fankurabu,いーあるふぁんくらぶ,いーあるふぁんくらぶ
Namae no Nai Uta,なまえのないうた,なまえのないうた
Rin-chan Nau!,リンちゃんなう!,りんちゃんなう
Okaasan,おかあさん,おかあさん
"E? Aa, Sou.",え?あぁ、そう。,えあぁそう
Deddo Rain Sakasu,デッドラインサーカス,でっどらいんさーかす
"Aa, Subarashiki Nyan-sei",嗚呼、素晴らしきニャン生,ああすばらしきにゃんせい
Saikyouiku,再教育,さいきょういく
Hajimete no Oto,ハジメテノオト,はじめてのおと
Ikasama Raifu Geimu,イカサマライフゲイム,いかさまらいふげいむ
Sakura no Ame,桜ノ雨,さくらのあめ
Shoujo Kanaria to Rengoku,少女カナリアと煉獄,しょうじょかなりあとれんごく
Ningen Shikkaku,人間失格,にんげんしっかく
Ririi Ririi★Baaningu Naito,リリリリ★バーニングナイト,りりりりばーにんぐないと
Piko Piko☆Rejendo Obu Za Naito,ピコピコ☆レジェンドオブザナイト,ぴこぴこれじぇんどおぶざないと
Kakurenbo,かくれんぼ,かくれんぼ
Gomibako,ごみばこ,ごみばこ
Sarubeeji,サルベージ,さるべーじ
Soiyassaa!!,そいやっさぁ!!,そいやっさぁ
Jinsei Risetto Botan,人生リセットボタン,じんせいりせっとぼたん
Erekutorikku Rabu,エレクトリック・ラブ,えれくとりっくらぶ
Konbini,コンビニ,こんびに
Watashi no Jikan,私の時間,わたしのじかん
Nemureru Mori,眠れる森,ねむれるもり
Ie ni Kaeru to Tsuma ga Kanarazu Shinda Furi wo Shiteimasu.,家に帰ると妻が必ず死んだふりをしています。,いえにかえるとつまがかならずしんだふりをしています
Hatsune Miku no Bousou,初音ミクの暴走,はつねみくのぼうそう
Rekodo Redo,レコード・レド,れこーどれど
Wasurenbou,わすれんぼう,わすれんぼう
Ikitemasu ,"生きてます'''"" ",いきてます
Mukashi Mukashi no Kyou no Boku,むかしむかしのきょうのぼく,むかしむかしのきょうのぼく
Saru no Haitta Onsen wa Totemo Yabai,猿の入った温泉はとてもヤバい,さるのはいったおんせんはとてもやばい
Kasa to Ame,傘と雨,かさとあめ
Yuuyami no Ayame Uta,夕闇ノ殺メ唄,ゆうやみのやめうた
miki miki★Romantikku Naito,ミキミキ★ロマンティックナイト,みきみきろまんてぃっくないと
Rinne,リンネ,りんね
Osananajimi ni sayonara,幼なじみにさよなら,おさななじみにさよなら
"Eien ni Shiawase ni Naru Houhou, Mitsuke Mashita.",永遠に幸せになる方法、見つけました。,えいえんにしあわせになるほうほうみつけました
Kurumi☆Ponchio,くるみ☆ぽんちお,くるみぽんちお
Wadachi,轍 -わだち-,わだちわだち
Kusari no Shoujo,鎖の少女,くさりのしょうじょ
Zen'yasai no Kuroneko,前夜祭の黒猫,ぜんやさいのくろねこ
Panda Hiiroo,パンダヒーロー,ぱんだひーろー
Taisetsu na Kotoba,大切なコトバ,たいせつなことば
Bucchigiri ni Shite Ageru♪,ぶっちぎりにしてあげる♪,ぶっちぎりにしてあげる
Akatsuki Arrival,アカツキアライヴァル,あかつきあらいゔぁる
Setsuna Torippu,セツナトリップ,せつなとりっぷ
Aku no Musume,悪ノ娘,あくのむすめ
Arubino,アルビノ,あるびの
Yokkorasekkusu,よっこらせっくす,よっこらせっくす
Maigo no Boku ni,迷子の僕に,まいごのぼくに
Aku no Meshitsukai,悪ノ召使,あくのめしつかい
Wandaarasuto,ワンダーラスト,わんだーらすと
Pookaa Feisu,ポーカーフェイス,ぽーかーふぇいす
Kuwagata ni Choppu Shitara Taimu Surippu Shita,クワガタにチョップしたらタイムスリップした,くわがたにちょっぷしたらたいむすりっぷした
Kiritorisen,キリトリセン,きりとりせん
Aitai,会いたい,あいたい
Shiryoku Kensa,シリョクケンサ,しりょくけんさ
Konoha no Sekai Jijou,コノハの世界事情,このはのせかいじじょう
Souzou Foresuto,想像フォレスト,そうぞうふぉれすと
Chirudoren Rekoodo,チルドレンレコード,ちるどれんれこーど
Intabyua,インタビュア,いんたびゅあ
Boku ga Boku ni Kaereru Basho,僕が僕に帰れる場所,ぼくがぼくにかえれるばしょ
Shiroi Yuki no Purinsesu wa,白い雪のプリンセスは,しろいゆきのぷりんせすは
Nandaka Ii Kanji,なんだかいいかんじ,なんだかいいかんじ
Jittaa Dooru,ジッタードール,じったーどーる
Yuurei Yashiki no Kubitsuri Shoujo,幽霊屋敷の首吊り少女,ゆうれいやしきのくびつりしょうじょ
Gomenne Gomenne,ごめんね ごめんね,ごめんねごめんね
Ai to Nasubi to Heiwa na Kajitsu,愛ト茄子ト平和ナ果実,あいとなすびとへいわなかじつ
Dou de mo Ii ya,どうでもいいや,どうでもいいや
Mono wo Parapara Kowasu,物をぱらぱら壊す,ものをぱらぱらこわす
Shingou de Futari Deatta,信号で二人出会った,しんごうでふたりであった
Kin no Irihi ni Tefuukin,金の入日に手風琴,きんのいりひにてふうきん
Haro/Hawayu,ハロ/ハワユ,はろはわゆ
Nekomimi Aakaibu,ネコミミアーカイブ,ねこみみあーかいぶ
Kokoro no Oto,心の音,こころのおと
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を,ちきゅうさいごのこくはくを
Kyodai Shoujo,巨大少女,きょだいしょうじょ
Mousou Suketchi,妄想スケッチ,もうそうすけっち
Taimu Mashin,タイムマシン,たいむましん
Tsuioku no Koe,"追憶の声""",ついおくのこえ
Sarubia no Musume,サルビアの娘,さるびあのむすめ
Meguru Sekai no Rekuiemu,巡る世界のレクイエム,めぐるせかいのれくいえむ
Rarirerira,ラリレリラ,らりれりら
Rūbikku Kyūbu,ルービックキューブ,るーびっくきゅーぶ
Nodo ga Kawaku,のどが渇く,のどがかわく
Uso to Nuigurumi,嘘とぬいぐるみ,うそとぬいぐるみ
Ai Kotoba,愛言葉,あいことば
Tsuntsun Gokko,ツンツンごっこ,つんつんごっこ
Doku Ringo to Shinderera,毒林檎とシンデレラ,どくりんごとしんでれら
Amatsu Kitsune,アマツキツネ,あまつきつね
San Kyuu,39,
Horumarin no Umi,ホルマリンの海,ほるまりんのうみ
Yuudachi no Ribon,夕立のりぼん,ゆうだちのりぼん
Yumeyume,ゆめゆめ,ゆめゆめ
Karafuru × Merodi,カラフル×メロディ,からふるめろでぃ
Kashokusei: Aidoru Shoukougun,過食性:アイドル症候群,かしょくせいあいどるしょうこうぐん
Yume no Katachi,ゆめのかたち,ゆめのかたち
Kami Kyoku,神曲,かみきょく
Kimi no Inai Basho de,君のいない場所で,きみのいないばしょで
Kyatto Fuudo,キャットフード,きゃっとふーど
Byakkoya no Musume,白虎野の娘,びゃっこやのむすめ
Shounen Shoujo Kamereon Shinputomu,少年少女カメレオンシンプトム,しょうねんしょうじょかめれおんしんぷとむ
Haitoku no Hana,背徳の花,はいとくのはな
Ao,青,あお
Bokutachi no Hajimari,ぼくたちのはじまり,ぼくたちのはじまり
Jurietta to Romiwo,ジュリエッタとロミヲ,じゅりえったとろみを
Sairento・Majoriti,サイレント・マジョリティ,さいれんとまじょりてぃ
Sarishinohara,サリシノハラ,さりしのはら
Mekakushi Code,メカクシコード,めかくしこーど
Tsumi to Batsu,罪と罰,つみとばつ
Rorikon de Yokatta~,ろりこんでよかったー,ろりこんでよかったー
Ren-kyun Nau!,レンきゅんなう!,れんきゅんなう
Erekuto(ro) Bokkusu,エレクト(ロ)ボックス,えれくとろぼっくす
Kamisama Neji Maki,カミサマネジマキ,かみさまねじまき
Aijou Jurietto,愛錠ジュリエット,あいじょうじゅりえっと
Kanransha,"""観覧車""",かんらんしゃ
Sayonara Chainsaw,サヨナラチェーンソー,さよならちぇーんそー
Wan Ruumu・Ooru・Zatto・Jazu,ワンルーム・オール・ザット・ジャズ,わんるーむおーるざっとじゃず
Sutera,ステラ,すてら
Daiichiji Jibun Sensou,第一次ジブン戦争,だいいちじじぶんせんそう
Ame to Asufaruto,雨とアスファルト,あめとあすふぁると
Kimi no Koto ga Suki de Gomennasai,キミのことが好きでゴメンナサイ,きみのことがすきでごめんなさい
Akkanbee da,アッカンベーダ,あっかんべーだ
Saiko Mooshon,サイコモーション,さいこもーしょん
"Ichizu na Kataomoi, Minorasetai Chiisana Shiawase.",一途な片思い、実らせたい小さな幸せ。,いちずなかたおもいみのらせたいちいさなしあわせ
Neko ni Orenji,猫にオレンジ,ねこにおれんじ
Shinpakusuu ♯0822,心拍数♯0822,しんぱくすう
Densetsu no Majo,伝説の魔女,でんせつのまじょ
Yankii Booi・Yankii Gaaru,ヤンキーボーイ・ヤンキーガール,やんきーぼーいやんきーがーる
Uintaa ・ Happii Naito,ウィンター ・ ハッピーナイト,うぃんたーはっぴーないと
Shinde Shimau to wa Nasakenai!,しんでしまうとはなさけない!,しんでしまうとはなさけない
Enmei Chiryou,延命治療,えんめいちりょう
Oshare Dorobou to Iro Megane,オシャレ泥棒と色眼鏡,おしゃれどろぼうといろめがね
Hikoukai Nisshi,非公開日誌,ひこうかいにっし
Gyuunyuu Nome!,牛乳飲め!,ぎゅうにゅうのめ
Gaanetto Fosufa,ガーネットフォスファ,がーねっとふぉすふぁ
Serurian Vesupa,セルリアンヴェスパ,せるりあんゔぇすぱ
Nekomimi Suicchi,ねこみみスイッチ,ねこみみすいっち
Inmoraru Akutoresu,インモラルアクトレス,いんもらるあくとれす
Kunoichi Demo Koi ga Shitai,クノイチでも恋がしたい,くのいちでもこいがしたい
Suuiito Taimu,スウィートタイム,すうぃーとたいむ
Kogarashi no Asa,木枯らしの朝,こがらしのあさ
Kanashimi no Nami ni Oboreru,かなしみのなみにおぼれる,かなしみのなみにおぼれる
Idora no Saakasu,イドラのサーカス,いどらのさーかす
Azarea no Bourei,アザレアの亡霊,あざれあのぼうれい
Samaa Aidoru,サマーアイドル,さまーあいどる
Koi Iro Byoutou,恋色病棟,こいいろびょうとう
Osanana Blue,オサナナブルー,おさななぶるー
Rasuto Efekuto,ラストエフェクト,らすとえふぇくと
Heisei Cataclysm,ヘイセイカタクリズム,へいせいかたくりずむ
Rosu Taimu Memorii,ロスタイムメモリー,ろすたいむめもりー
Rikabarii,リカバリー,りかばりー
Singason,シンガソン,しんがそん
Daidai Genomu,橙ゲノム,だいだいげのむ
Hashire,走れ,はしれ
Boku wa Hatsune Miku to Kisu wo Shita,僕は初音ミクとキスをした,ぼくははつねみくときすをした
Hato,ハト,はと
Rokuberu,ロクベル,ろくべる
"Yume Janai, Uso Janai, Me no Mae ni Aru Shiawase na Joukei.",夢じゃない、嘘じゃない、目の前にある幸せな情景。,ゆめじゃないうそじゃないめのまえにあるしあわせなじょうけい
Misutaa Deja Bu,ミスターデジャブ,みすたーでじゃぶ
Taiyou no Kizuna,太陽の絆,たいようのきずな
Iijii Densu,イージーデンス,いーじーでんす
Hokorobi,ほころび,ほころび
Genjitsuteki Ronri Shugisha,現実的論理主義者,げんじつてきろんりしゅぎしゃ
Shabon no Saramandora,しゃぼんのサラマンドラ,しゃぼんのさらまんどら
Jabawokkii・Jabawokka,ジャバヲッキー・ジャバヲッカ,じゃばをっきーじゃばをっか
Shuukan Shounen Bai Bai,''週刊少年バイバイ'',しゅうかんしょうねんばいばい
Shinjuu,心中,しんじゅう
Arisu ni Sayonara,アリスにさよなら,ありすにさよなら
Tanshoku Sekai,単色世界,たんしょくせかい
Yuugure Semi Nikki,夕暮れ蝉日記,ゆうぐれせみにっき
Shiawase ni Nareru Kakushi Komando ga Arurashii,幸せになれる隠しコマンドがあるらしい,しあわせになれるかくしこまんどがあるらしい
Dareka no Uta de Boku ga Shinu,誰かの歌で僕が死ぬ,だれかのうたでぼくがしぬ
Guren no Yumiya,紅蓮の弓矢,ぐれんのゆみや
Kakushigoto,かくしごと,かくしごと
Tsugi Saku Hana no Iro wa,次咲く花の色は,つぎさくはなのいろは
Kyou mo Harebare,きょうもハレバレ,きょうもはればれ
Nakimushi Robot,ナキムシロボ,なきむしろぼ
Koi Tsubaki Hime,恋椿姫,こいつばきひめ
Yukue Shirezu,ユクエシレズ,ゆくえしれず
Dorobou Night Trick,ドロボウナイトトリック,どろぼうないととりっく
Koutetsu no Tori,鋼鉄ノ鳥,こうてつのとり
Ayano no Koufuku Riron,アヤノの幸福理論,あやののこうふくりろん
Kokuhaku Yokou Renshuu,告白予行練習 ,こくはくよこうれんしゅう
Dare de mo Ii kara Tsukiaitai,誰でもいいから付き合いたい,だれでもいいからつきあいたい
Utsukushiki Kajitsu,美しき果実,うつくしきかじつ
Jougen no Tsuki,上弦の月,じょうげんのつき
Kimi ga Sora Koso Kanashikere,君ガ空コソカナシケレ,きみがそらこそかなしけれ
Boku wa Gachapoid,ぼくはガチャッポイド,ぼくはがちゃっぽいど
Rekuiemu,レクイヱム,れくいゑむ
Kokoro・Kiseki,ココロ・キセキ,こころきせき
Disuko☆Shokoratekku,でぃすこ☆しょこらてっく,でぃすこしょこらてっく
Shuumatsu ga Yattekuru!,しゅうまつがやってくる!,しゅうまつがやってくる
Hāto Disuku Doraibu,ハートディスクドライブ,はーとでぃすくどらいぶ
Ageage Agein,アゲアゲアゲイン,あげあげあげいん
Nijiiro*Adobenchua,ニジイロ*アドベンチュア,にじいろあどべんちゅあ
Bokura no Let-it-Be,ぼくらのレットイットビー,ぼくらのれっといっとびー
Sekihi no Uta,石碑のうた,せきひのうた
Yamero,やめろ,やめろ
Garakuta Hime to Aposutorofu,ガラクタ姫とアポストロフ,がらくたひめとあぽすとろふ
Kitsune no Yomeiri,狐ノ嫁入リ,きつねのよめいりり
Sutorobo Rasuto,ストロボラスト,すとろぼらすと
Shiro no Musume,白ノ娘,しろのむすめ
Sweet Float Apaato,スイートフロートアパート,すいーとふろーとあぱーと
Hatsune Miku no Bunretsu→Hakai,初音ミクの分裂→破壊,はつねみくのぶんれつはかい
Sutorobo Naitsu,ストロボナイツ,すとろぼないつ
Kimi no Oto ga,君の音が,きみのおとが
Hamon,波紋,はもん
Chimidoro Suicchi,チミドロスイッチ,ちみどろすいっち
Ie no Ura de Manbou ga Shinderu,家の裏でマンボウが死んでる,いえのうらでまんぼうがしんでる
Ifuudoudou,威風堂々,いふうどうどう
Otsukimi Risaitaru,オツキミリサイタル,おつきみりさいたる
Minna to Waratta,みんなとわらった,みんなとわらった
Ten Sho Sho Ten Sho,てんしょう しょうてんしょう,てんしょうしょうてんしょう
Sessha mo Dareka to Tsukiaitai,拙者も誰かと付き合いたい,せっしゃもだれかとつきあいたい
Mousou Zei,妄想税,もうそうぜい
Tawaa,タワー,たわー
Tsugihagi Eden,ツギハギエデン,つぎはぎえでん
Shineba Ii No Ni,しねばいいのに,しねばいいのに
"*Sayonara, World End.",*サヨナラ、ワールドエンド。,さよならわーるどえんど
AaAaAaAAaAaAAa,あぁあぁあぁああぁあぁああぁ,あぁあぁあぁああぁあぁああぁ
Aikarakaia,あいからかいあ,あいからかいあ
Meiteki Saibanetikkusu,迷的サイバネティックス,めいてきさいばねてぃっくす
E//X,エ//クス,えくす
Houshanou ga Kuru,放射能がくる,ほうしゃのうがくる
Paranoido,パラノイド,ぱらのいど
Garasu no Hana,硝子ノ華,がらすのはな
Sateraito,サテライト,さてらいと
Neko Neko☆Suupaa Fiibaa Naito,ネコネコ☆スーパーフィーバーナイト,ねこねこすーぱーふぃーばーないと
IA IA★Naito obu Dezaia,イアイア★ナイトオブデザイア,いあいあないとおぶでざいあ
Hakamairi,墓参り,はかまいり
Kaze no Tadaima,風のただいま,かぜのただいま
Doonatsu Hooru,ドーナツホール,どーなつほーる
Autaa Saiensu,アウターサイエンス,あうたーさいえんす
Koufuku na Shi wo,幸福な死を,こうふくなしを
Meteo,メテオ,めてお
Arifureta Sekai Seifuku,ありふれたせかいせいふく,ありふれたせかいせいふく
Mane Mane Psychotropic,マネマネサイコトロピック,まねまねさいことろぴっく
Sayonara Joushiki Kuukan,''さよなら常識空間'',さよならじょうしきくうかん
Dou Iu Koto Nano!?,どういうことなの!?,どういうことなの
Sora Moyou,そらもよう,そらもよう
"""Kishidou""","""騎士道""",きしどう
Haiboku no Shounen,敗北の少年,はいぼくのしょうねん
Nina,ニナ,にな
"Su-Su-Su-Su, Suki, Daaisuki",すすすす、すき、だあいすき,すすすすすきだあいすき
Zutsuki,頭突き,ずつき
Zora Miku ★ Ekisentorikku Fuyuuchaa Naito,ゾラミク★エキセントリックフューチャーナイト,ぞらみくえきせんとりっくふゅーちゃーないと
Majenta,マジェンタ,まじぇんた
Tsunawatari,綱渡り,つなわたり
Tensen Makura,てんせんまくら,てんせんまくら
Genjitsu Sekai Tsukami,げんじつせかいつかみ,げんじつせかいつかみ
Kamisama no Iu Toori,神様の云う通り,かみさまのいうとおり
Suteki na Kimochi,素敵な気持ち,すてきなきもち
Misemono Raifu,見世物ライフ,みせものらいふ
Hito(ri)goto,ヒト(リ)ゴト,ひとりごと
Don Don♪ Galaxy!,どんどん♪ぎゃらくしぃ!,どんどんぎゃらくしぃ
Iro no asobi,色の遊び,いろのあそび
Namida no Doukeshi,ナミダの道化師,なみだのどうけし
Dachura no Haru,ダチュラの春,だちゅらのはる
Narisumashi Genga,なりすましゲンガー,なりすましげんがー
Yuuhizaka,夕日坂,ゆうひざか
Nisemono Chuuihou,ニセモノ注意報,にせものちゅういほう
Reiwai Terrorism,レイワイテロリズム,れいわいてろりずむ
Nayuta no Kanata Made,那由他の彼方まで,なゆたのかなたまで
Busamen Dokyumentarī,ブサメンドキュメンタリー,ぶさめんどきゅめんたりー
Kuranberii,クランベリー,くらんべりー
Towairaito Puranku,トワイライトプランク,とわいらいとぷらんく
Furaan Furaan ーZonbiiー,フラーンフラーンーゾンビーー,ふらーんふらーんーぞんびーー
Majikaru☆Nuko Ren Ren,マジカル☆ぬこレンレン,まじかるぬこれんれん
Tsukeru yo.,つけるよ。,つけるよ
Tomato Kirai no Uta,トマトきらいのうた,とまときらいのうた
Ikanaide,いかないで,いかないで
Shikiori no Hane,四季折の羽,しきおりのはね
Andawa,アンダワ,あんだわ
Jibeta Toraberu,ジベタトラベル,じべたとらべる
Sekishinsei: Kamatoto Araryouji,赤心性:カマトト荒療治,せきしんせいかまととあらりょうじ
Meguri Hime Buyou Kyoku,巡姫舞踊曲,めぐひめぶようきょく
Sureddoneishon,スレッドネイション,すれっどねいしょん
Kasou Kyoku,火葬曲,かそうきょく
Negai wo Komete,願いを込めて,ねがいをこめて
Ashita wo Muite,明日を向いて,あしたをむいて
Mobairi:Senseeshon,モバイリ:センセーション,もばいりせんせーしょん
Purasu Danshi,+♂,
Nana Korobi Yaoki Nai,七転び八起きない,ななころびやおきない
Burafu Raiaa,ブラフライアー,ぶらふらいあー
Ryuu no Se ni Notte,龍の背に乗って,りゅうのせにのって
Senchimentaru Andoroido,センチメンタル・アンドロイド,せんちめんたるあんどろいど
Muchuu Ganbou,夢中願望,むちゅうがんぼう
Envi Kyatto Wooku,エンヴィキャットウォーク,えんゔぃきゃっとうぉーく
Ano Ko ga Boku wo Kowagarimasen,あの子がボクを怖がりません,あのこがぼくをこわがりません
Uta Tabigarasu,唄旅鴉,うたたびがらす
Hatsukoi no Nami,初恋の波,はつこいのなみ
Shittsui no Tenshaku,失墜の天爵,しっついのてんしゃく
Sutoriimingu Haato,ストリーミングハート,すとりーみんぐはーと
Chikyuu no Akichi,地球の空き地,ちきゅうのあきち
Chiri Chiri Juso,塵塵呪詛(チリチリジュソ),ちりちりじゅそちりちりじゅそ
Rori Yuukai,ロリ誘拐,ろりゆうかい
Shikabane no Odori,しかばねの踊り,しかばねのおどり
Shounen Kaguya,少年かぐや,しょうねんかぐや
Heimensetsu,平面説,へいめんせつ
Kami no Manimani,神のまにまに,かみのまにまに
Kimi no Irodoru Senritsu,君の彩る旋律,きみのいろどるせんりつ
Inokori Sensei,イノコリ先生,いのこりせんせい
Doesu,どえす,どえす
Lilachorn,リラホルン,りらほるん
Koin Rokkaa Beibii,コインロッカーベイビー,こいんろっかーべいびー
Kimi no Uta,君のうた,きみのうた
Yuu Hanabi,夕花火,ゆうはなび
Hitori Kakurenbo,ひとりかくれんぼ,ひとりかくれんぼ
Konsento Gaaru,コンセントガール,こんせんとがーる
Sayonara Lechenaultia,さよならレシェノルティア,さよなられしぇのるてぃあ
Anata no Utahime,あなたの歌姫,あなたのうたひめ
Aironi,アイロニ,あいろに
Ai Sensaa,アイセンサー,あいせんさー
Doemu,どえむ,どえむ
Sekai Nante Isshun de Kawaru,世界なんて一瞬で変わる,せかいなんていっしゅんでかわる
Jishou Mushoku,自傷無色,じしょうむしょく
Yuukei Iesutadei,夕景イエスタデイ,ゆうけいいえすたでい
Doragon Raijingu,ドラゴンライジング,どらごんらいじんぐ
Tatta Hitotsu no Dangan de,たった一つの弾丸で,たったひとつのだんがんで
E no Umakatta Tomodachi,絵の上手かった友達,えのうまかったともだち
Discommunication,ディスコミュニケーション,でぃすこみゅにけーしょん
Mirai Gurafu,ミライグラフ,みらいぐらふ
Koshitantan,虎視眈々,こしたんたん
Megane No Mukou No Sekai,メガネの向こうの世界,めがねのむこうのせかい
Asutoro Toruupaa,アストロトルーパー,あすとろとるーぱー
Teroru,テロル,てろる
Kotoba Meteo,言葉メテオ,ことばめてお
Gishin'anki,疑心暗鬼,ぎしんあんき
Gozen Sanji no Heddofon,午前3時のヘッドフォン,ごぜんさんじのへっどふぉん
Kyouhansha,共犯者,きょうはんしゃ
Kimi no haato itadaki masu!,キミのハートいただきます!,きみのはーといただきます
Dreamin Chuchu,どりーみんチュチュ,どりーみんちゅちゅ
Yami no Kanata,闇の彼方,やみのかなた
Doushin Shoujo to Otona Sekai,童心少女と大人世界,どうしんしょうじょとおとなせかい
Sekai he Okuru Rekuiemu,世界へ送るレクイエム,せかいへおくるれくいえむ
Hikari,ヒカリ,ひかり
Okochama Sensou,おこちゃま戦争,おこちゃませんそう
Purei,プレイ,ぷれい
Dame da Koitsu,駄目だこいつ,だめだこいつ
Hanbunko.,はんぶんこ。,はんぶんこ
Kimashita waa!,キマシタワー!,きましたわー
Ren'ai Firosofia,恋愛フィロソフィア,れんあいふぃろそふぃあ
13943 Goushitsu,13943号室 ,ごうしつ
Sayonara Suingu Bai,サヨナラスイングバイ,さよならすいんぐばい
Ookami Girl,オオカミガール,おおかみがーる
Wasureru Wake Nai Desho,忘れるわけないでしょ,わすれるわけないでしょ
Suroo Mooshon,すろぉもぉしょん,すろぉもぉしょん
Enjoi Kuruu!,エンジョイクルー!,えんじょいくるー
Kinou Mita Yume,昨日見た夢,きのうみたゆめ
Tasogare no Namida,黄昏の涙,たそがれのなみだ
Guddonaito,グッドナイト,ぐっどないと
